品牌,型号,名称,分组,后置原因,类型,处理建议
AUDIX,MC20I,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MC20I,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCBOOM,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCBOOM,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCFLUTE,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCFLUTE,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCHANGER,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCHANGER,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCHANGER,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCMICRO,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCMICRO,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCSWIVEL,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,MCSWIVEL,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,PD133,有线人声手持话筒配件,有线人声手持话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,PD133,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,PD133,录音棚话筒配件,录音棚话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,PD133,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,RMT241,无线系统配件,无线系统配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,RMT241,无线系统配件,无线系统配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,RMT4161,无线系统配件,无线系统配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,RMT4161,无线系统配件,M3连接线缆,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,RMT42,无线系统配件,无线系统配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,RMT42,无线系统配件,无线系统配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,RMT42 KIT,无线系统配件,无线系统配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,RMT42 KIT,无线系统配件,无线系统配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,SMT19,乐器话筒配件,乐器话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,SMT19,录音棚话筒配件,录音棚话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,SMT19,测试话筒配件,测试话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,SMT19,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,SMTMICRO,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,SMTMICRO,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,STANDMB,Micros话筒配件,Micros话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,STANDMB,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,TM1CA4231,测试话筒配件,测试话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,WS357PK,有线人声手持话筒配件,有线人声手持话筒配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,WS357PK,配件,配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Apart,T60,8Ω转100V变压器,MASK支架套件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Community,ENT-FK,ENTASYS吊挂配件,E系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Community,IUB2082B,紧凑式音箱水平U型吊架,I系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
E-coustic Systems,Site License,软件授权和系统调试费,音箱频处理器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,2041778 Anya Spare Amplifier Service Pack,Anya功放模块备件包,Anya高音单元备件套装,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,2044451 Otto Spare Amplifier Service Pack,Otto低音单元备件套装,Otto,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,2044452 Otto Spare LF Service Kit (1x LF driver),Otto功放模块备件包,Otto,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,2046448 Anna Spare Amplifier Service Pack,Anna功放模块备件包,Anna,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,2046449 Anna Spare LF Transducer Service Kit (1x LF driver),Anna低音单元备件套装,Anna,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,2046481 Anna Spare HF Transducer Service Kit (8x HF drivers in 1 cluster),Anna高音单元备件套装,Anna,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,2046495 Anna Spare MF Transducer Service Kit (1x MF driver),Anna中音单元备件套装,Anna,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,AC6 CONNECTING PLATES ACCESSORY,音箱连接安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,AC6 STINGER KIT,吊挂安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,AC6 SUBWOOFER STACK PLATE KIT,音箱连接安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,AC6 WALL BRACKET BLACK,墙面可调安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,AC6 WALL BRACKET WHITE,墙面可调安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,Adapter Brackets (2 Per) Black [ACC-ABQX](REQUIRED FOR ANY QX U-BRACKETS),QX U型架适配器，黑色,QX系列配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,FBX100,吊架,RADIUS系列配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,FBX200,吊架,RADIUS系列配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,SBX118F/SB818 GROUNDSTACK KIT,地面堆叠配件,音箱防尘罩,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,SBX118F/SB818 GROUNDSTACK KIT,地面堆叠配件,音箱运输车,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,UXA4401 RACK MOUNT KIT,功放安装配件,UX系列配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
EAW,UXA4401 Rear Mounting Rails,功放安装配件,UX系列配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Green-GO,GGO-BC6,6路电池充电器,Green-GO数字内通系统,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Green-GO,GGO-NRGP,备用电池,Green-GO数字内通系统,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,BF-FBK,BF固定落地安装支架组件（含一组支架组件和纸质包装）,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,CTSGW01,墨水屏无线网关,CTS智慧屏产品系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,DIO 4x4安装支架,Dante接口盒机柜安装架,音频接口盒,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,DX120-pad-license-v1,可视化控制软件,视频产品,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,DX120-pad-license-v1,可视化控制软件,视频产品,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,IUH100,吊挂配件,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,IUH120,吊挂配件,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,IUH150,吊挂配件,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,IUV100,吊挂配件,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,IUV120,吊挂配件,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,IUV150,吊挂配件,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,IUV60,吊挂配件,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,IUV80,吊挂配件,扬声器,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,NP-GW,电子桌牌网关,其他会议系统（前级）,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
IPS,SWK-SE02,融合会议控制器软件加密狗,MT融合会议产品系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Batformer® 100V,插入式输出变压器,Ottocanali 系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Batformer® 70V,插入式输出变压器,Ottocanali 系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Powersoft,Verso,云平台网关,云平台网关,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,128x128 Dante Channel Pack,128x128 Dante IO扩展升级包,Server D100系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,32 AEC Channel Pack,32路AEC扩展升级包,Server D100系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,32 Playback Channel Pack,32路媒体播放通道升级包,Server D100系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Symetrix,96 Playback Channel Pack,96路媒体播放通道升级包,Server D100系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Televic,CoCon Discussion,会议讨论控制软件,CoCon控制软件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Televic,CoCon Interpretation,传译软件,CoCon控制软件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Televic,Cocon Document Management,CoCon文档管理软件,CoCon控制软件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Televic,Confidea BP,单元电池,Confidea无线会议系统,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Televic,Confidea BPC,电池充电器,Confidea无线会议系统,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
Televic,Congressify User License,Congressify 软件,Congressify,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
WaveCapture,FIR-Capture,测量软件工具,,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
WaveCapture,Live-Capture Pro,实时现场音响测量软件工具,,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
WaveCapture,RT-Capture V3,测量软件工具,,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
WaveCapture,Room-Capture,调试测量软件工具,,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
WaveCapture,Tuning-Capture Plus,音箱系统调试测试软件工具,,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
WolfVision,vSolution Matrix Pack,vSolution Matrix功能包,Cynap附件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,DEK-DM7-BR,广播软件包,RIVAGE PM系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,DEK-DM7-TH,剧院软件包,RIVAGE PM系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
YAMAHA,DEK-DSP-RX,调音台处理引擎升级包,RIVAGE PM系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezCloud,SWK-SE01,ezCloud软件系统加密狗,服务端（一个项目一般配一组，如A组、B组）,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezCloud,SWK-SE01,ezCloud软件系统加密狗,服务端（一个项目一般配一组，如A组、B组）,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezCloud,SWK-UK01,软件交付U盘,服务端（一个项目一般配一组，如A组、B组）,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezCloud,SWK-UK01,软件交付U盘,服务端（一个项目一般配一组，如A组、B组）,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,AQUA-ADAP,音箱支架连接适配件,AQUA系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,CSMPT,吊挂配件,AQUA系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH12,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH12-W,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH12WP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH15,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH15-W,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH15WP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH32,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH32-W,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH32WP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH35,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH35-W,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UH35WP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV12,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV12-W,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV12WP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV15,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV15-W,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV15WP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV32,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV32-W,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV32WP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV35,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV35-W,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FIS-UV35WP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FISHFR,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FISHFRW,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FISHFRWP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FISVFR,吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FISVFRW,吊挂配件(白色),FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,FISVFRWP,全天候吊挂配件,FIS V2系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,IMC-UH12,吊挂配件,IMC系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,IMC-UH8,吊挂配件,IMC系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,IMC-UV12,吊挂配件,IMC系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,IMC-UV8,吊挂配件,IMC系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,SLVFB,线阵列扬声器吊架,SL系列吊装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,THL10-FBV2,线阵列扬声器吊架,THL系列吊装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,THL12-FBV2,线阵列扬声器吊架,THL系列吊装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,THL8-FBV2,线阵列扬声器吊架,THL系列吊装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,THP12-RB1,加固配件,THP系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,THP12-RB2,加固配件,THP系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,TS巡演机柜组,巡演机柜组,巡演系列功放机柜及辅材,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,TS机柜,功放机柜,巡演系列功放机柜及辅材,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,VHL10FB,线阵列扬声器吊架,VH系列吊装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,VHL12FB,线阵列扬声器吊架,VH系列吊装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,VHL6FB,线阵列扬声器吊架,VH系列吊装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,VHL8FB,线阵列扬声器吊架,VH系列吊装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,W12MU,监听扬声器配件,WM系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
ezacoustics,W8MU,监听扬声器配件,WM系列安装配件,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-AC6 Bracket Black-1P,吊挂安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-AC6 Bracket Black-2P,吊挂安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-AC6 Bracket Black-3P,吊挂安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-AC6 SUBWOOFER STACK PLATE KIT,音箱连接安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-AC6 WALL BRACKET BLACK,墙面可调安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-AC6-CONNECTING PLATE,音箱连接安装配件,AC6,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-ACC-ABQX Black,QX U型架适配器，黑色,QX118/QX5XX水平U型架，白色,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
国产优质,EAW-ACC-ABQX White,QX U型架适配器，白色,QX118/QX5XX水平U型架，白色,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
定制,定制,软件定制开发,服务端（一个项目一般配一组，如A组、B组）,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
定制,定制,软件定制开发,服务端（一个项目一般配一组，如A组、B组）,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
软件,SWA30001,智慧控制屏软件,DP控制器产品系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
软件,V2.0,智慧信息屏软件,CTS智慧屏产品系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
软件,V2.0,智慧会议指引屏软件,CTS智慧屏产品系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
软件,V2.0,融合会议控制器软件,MT融合会议产品系列,音频配件(需人工),音频待补参数,人工确认类别或补主要参数后可出图
